fonte,nome_original,chave_origem,chave_dimensao,id_escola_provisorio,nome_canonico,metodo_correspondencia
Contexto CAEd,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,ESC_043,EMEF RINCAO,exata_normalizada
CAEd,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,ESC_044,EMEF SAINT HILAIRE,exata_normalizada
Contexto CAEd,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,ESC_044,EMEF SAINT HILAIRE,exata_normalizada
CAEd,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,ESC_045,EMEF SAO PEDRO,exata_normalizada
Contexto CAEd,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,ESC_045,EMEF SAO PEDRO,exata_normalizada
CAEd,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,ESC_046,EMEF SEN ALBERTO PASQUALINI,exata_normalizada
Contexto CAEd,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,ESC_046,EMEF SEN ALBERTO PASQUALINI,exata_normalizada
CAEd,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,ESC_047,EMEF TIMBAUVA,exata_normalizada
Contexto CAEd,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,ESC_047,EMEF TIMBAUVA,exata_normalizada
CAEd,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,ESC_048,EMEF VER ANTONIO GIUDICE,exata_normalizada
Contexto CAEd,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,ESC_048,EMEF VER ANTONIO GIUDICE,exata_normalizada
CAEd,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,ESC_049,EMEF VER CARLOS PESSOA DE BRUM,exata_normalizada
Contexto CAEd,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,ESC_049,EMEF VER CARLOS PESSOA DE BRUM,exata_normalizada
CAEd,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,ESC_050,EMEF VER MARTIM ARANHA,exata_normalizada
Contexto CAEd,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,ESC_050,EMEF VER MARTIM ARANHA,exata_normalizada
CAEd,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,ESC_051,EMEF VILA MONTE CRISTO,exata_normalizada
