id_escola,codigo_inep,nome_canonico,assessora_vinculo_administrativo,assessora_gerencial_2026,incluir_indice_carga_2026,matriculas_anos_iniciais,turmas_anos_iniciais,turmas_anos_iniciais_validas,numero_etapas_amplas_ofertadas,score_dimensao_volume,cobertura_dimensao_volume,score_dimensao_estrutural,cobertura_dimensao_estrutural,score_dimensao_administrativa,cobertura_dimensao_administrativa,contribuicao_volume,contribuicao_estrutural,contribuicao_administrativa,indice_carga_potencial_operacional,cobertura_indice_operacional,interpretacao_cautelosa,resultados_educacionais_no_indice,nota_uso
ESC_002,43105505,EMEB DR LIBERATO SALZANO VIEIRA DA CUNHA,clarissa,clarissa,TRUE,465,21,21,4,69.71153846153845,1,32.11538461538461,1,0,1,27.884615384615383,11.240384615384613,0,39.125,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_042,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,amanda,TRUE,420,16,16,2,46.34615384615385,1,52.40384615384615,1,0,1,18.53846153846154,18.341346153846153,0,36.87980769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_043,43293050,EMEF RINCAO,jalize,jalize,TRUE,270,10,10,2,24.374999999999996,1,74.32692307692308,1,0,1,9.75,26.014423076923077,0,35.76442307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_044,43167179,EMEF SAINT HILAIRE,andreia,andreia,TRUE,494,22,22,4,79.27884615384616,1,61.15384615384615,1,0,1,31.711538461538467,21.403846153846153,0,53.11538461538462,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_045,43167535,EMEF SAO PEDRO,marian,marian,TRUE,477,22,22,4,76.39423076923077,1,30.384615384615383,1,0,1,30.55769230769231,10.634615384615383,0,41.19230769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_046,43107842,EMEF SEN ALBERTO PASQUALINI,julia,julia,TRUE,535,21,21,3,76.0576923076923,1,67.21153846153847,1,0,1,30.423076923076923,23.524038461538463,0,53.94711538461539,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_047,43189253,EMEF TIMBAUVA,nathalia,nathalia,TRUE,353,15,15,3,38.50961538461539,1,65.86538461538461,1,0,1,15.403846153846155,23.052884615384613,0,38.45673076923077,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,clarissa,TRUE,404,18,18,3,49.51923076923077,1,41.05769230769231,1,0,1,19.807692307692307,14.370192307692307,0,34.17788461538461,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,priscila,TRUE,574,22,22,4,90.81730769230768,1,66.34615384615384,1,0,1,36.32692307692307,23.221153846153843,0,59.54807692307692,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_050,43109101,EMEF VER MARTIM ARANHA,priscila,priscila,TRUE,333,15,15,4,42.54807692307692,1,60.67307692307693,1,0,1,17.01923076923077,21.235576923076923,0,38.25480769230769,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_051,43175120,EMEF VILA MONTE CRISTO,graziela,graziela,TRUE,454,20,20,4,66.39423076923077,1,69.03846153846153,1,0,1,26.55769230769231,24.163461538461537,0,50.72115384615385,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_052,43173721,EMEF WENCESLAU FONTOURA,eliane,eliane,TRUE,446,17,17,3,54.32692307692307,1,72.59615384615385,1,0,1,21.73076923076923,25.408653846153847,0,47.13942307692308,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_053,43105246,EMEM EMILIO MEYER,ruti,ruti,TRUE,377,18,18,3,46.63461538461539,1,46.63461538461539,1,0,1,18.653846153846157,16.322115384615383,0,34.97596153846154,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
ESC_054,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,julia,TRUE,154,8,8,1,8.461538461538462,1,43.07692307692307,1,100,1,3.384615384615385,15.076923076923075,25,43.46153846153846,1,FALSE,FALSE,Índice relativo e descritivo; examinar dimensões separadamente; não usar isoladamente para redistribuição.
