fonte,nome_original,chave_origem,chave_dimensao,nome_vinculo,assessora,metodo_correspondencia,observacao_correspondencia,id_escola,nome_canonico,codigo_inep,nome_inep,metodo_correspondencia_inep,status_codigo_inep
Contexto CAEd,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,EMEF PROF LARRY JOSE RIBEIRO ALVES,amanda,exata_normalizada,,ESC_042,EMEF PROF LARRY JOSE RIBEIRO ALVES,43109098,EMEF PROF LARRY JOSE RIBEIRO ALVES,exata_normalizada,consolidado
CAEd,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,jalize,exata_normalizada,,ESC_043,EMEF RINCAO,43293050,EMEF RINCAO,exata_normalizada,consolidado
Contexto CAEd,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,EMEF RINCAO,jalize,exata_normalizada,,ESC_043,EMEF RINCAO,43293050,EMEF RINCAO,exata_normalizada,consolidado
CAEd,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,exata_normalizada,,ESC_044,EMEF SAINT HILAIRE,43167179,EMEF SAINT HILAIRE,exata_normalizada,consolidado
Contexto CAEd,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,EMEF SAINT HILAIRE,andreia,exata_normalizada,,ESC_044,EMEF SAINT HILAIRE,43167179,EMEF SAINT HILAIRE,exata_normalizada,consolidado
CAEd,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,exata_normalizada,,ESC_045,EMEF SAO PEDRO,43167535,EMEF SAO PEDRO,exata_normalizada,consolidado
Contexto CAEd,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,EMEF SAO PEDRO,marian,exata_normalizada,,ESC_045,EMEF SAO PEDRO,43167535,EMEF SAO PEDRO,exata_normalizada,consolidado
CAEd,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,julia,exata_normalizada,,ESC_046,EMEF SEN ALBERTO PASQUALINI,43107842,EMEF SEN ALBERTO PASQUALINI,exata_normalizada,consolidado
Contexto CAEd,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,EMEF SEN ALBERTO PASQUALINI,julia,exata_normalizada,,ESC_046,EMEF SEN ALBERTO PASQUALINI,43107842,EMEF SEN ALBERTO PASQUALINI,exata_normalizada,consolidado
CAEd,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,nathalia,exata_normalizada,,ESC_047,EMEF TIMBAUVA,43189253,EMEF TIMBAUVA,exata_normalizada,consolidado
Contexto CAEd,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,EMEF TIMBAUVA,nathalia,exata_normalizada,,ESC_047,EMEF TIMBAUVA,43189253,EMEF TIMBAUVA,exata_normalizada,consolidado
CAEd,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,clarissa,exata_normalizada,,ESC_048,EMEF VER ANTONIO GIUDICE,43172482,EMEF VER ANTONIO GIUDICE,exata_normalizada,consolidado
Contexto CAEd,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,EMEF VER ANTONIO GIUDICE,clarissa,exata_normalizada,,ESC_048,EMEF VER ANTONIO GIUDICE,43172482,EMEF VER ANTONIO GIUDICE,exata_normalizada,consolidado
CAEd,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,priscila,exata_normalizada,,ESC_049,EMEF VER CARLOS PESSOA DE BRUM,43109080,EMEF VER CARLOS PESSOA DE BRUM,exata_normalizada,consolidado
Contexto CAEd,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,EMEF VER CARLOS PESSOA DE BRUM,priscila,exata_normalizada,,ESC_049,EMEF VER CARLOS PESSOA DE BRUM,43109080,EMEF VER CARLOS PESSOA DE BRUM,exata_normalizada,consolidado
CAEd,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,priscila,exata_normalizada,,ESC_050,EMEF VER MARTIM ARANHA,43109101,EMEF VER MARTIM ARANHA,exata_normalizada,consolidado
Contexto CAEd,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,EMEF VER MARTIM ARANHA,priscila,exata_normalizada,,ESC_050,EMEF VER MARTIM ARANHA,43109101,EMEF VER MARTIM ARANHA,exata_normalizada,consolidado
CAEd,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,exata_normalizada,,ESC_051,EMEF VILA MONTE CRISTO,43175120,EMEF VILA MONTE CRISTO,exata_normalizada,consolidado
Contexto CAEd,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,EMEF VILA MONTE CRISTO,graziela,exata_normalizada,,ESC_051,EMEF VILA MONTE CRISTO,43175120,EMEF VILA MONTE CRISTO,exata_normalizada,consolidado
CAEd,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,exata_normalizada,,ESC_052,EMEF WENCESLAU FONTOURA,43173721,EMEF WENCESLAU FONTOURA,exata_normalizada,consolidado
Contexto CAEd,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,EMEF WENCESLAU FONTOURA,eliane,exata_normalizada,,ESC_052,EMEF WENCESLAU FONTOURA,43173721,EMEF WENCESLAU FONTOURA,exata_normalizada,consolidado
CAEd,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,exata_normalizada,,ESC_053,EMEM EMILIO MEYER,43105246,EMEM EMILIO MEYER,exata_normalizada,consolidado
Contexto CAEd,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,EMEM EMILIO MEYER,ruti,exata_normalizada,,ESC_053,EMEM EMILIO MEYER,43105246,EMEM EMILIO MEYER,exata_normalizada,consolidado
CAEd,EMEB PROFESSORA LEOPOLDA BARNEWITZ,EMEB PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,validada_manualmente,,ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,exata_normalizada,consolidado
CAEd,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,exata_normalizada,,ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,exata_normalizada,consolidado
Contexto CAEd,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,exata_normalizada,,ESC_054,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,43106668,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,exata_normalizada,consolidado
CAEd,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada,,ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada,consolidado
CAEd,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada,,ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada,consolidado
Contexto CAEd,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,7028 ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,outras,exata_normalizada,,ESC_055,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,43105300,ESCOLA DE ENSINO FUNDAMENTAL MADRE RAFFO,exata_normalizada,consolidado
CAEd,6002 EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,EEF ALDEIA LUMIAR,,,nova_escola,,ESC_056,EEF ALDEIA LUMIAR,43189768,6002 EEF ALDEIA LUMIAR,aceite_manual,consolidado
