base,ordem_coluna,variavel,classe_r,valores_ausentes,valores_distintos
carteira_escola_detalhe,20,score_dimensao_administrativa,numeric,0,6
carteira_escola_detalhe,21,indice_carga_potencial,numeric,0,56
carteira_escola_detalhe,22,percentil_indice_carga_potencial,numeric,0,56
carteira_escola_detalhe,23,faixa_indice_carga_potencial,character,0,4
carteira_escola_detalhe,24,indice_carga_potencial_operacional,numeric,0,56
carteira_escola_detalhe,25,faixa_indice_operacional,character,0,4
carteira_escola_detalhe,26,indice_carga_potencial_desafio_educacional,numeric,0,56
carteira_escola_detalhe,27,faixa_indice_desafio_educacional,character,0,4
carteira_escola_detalhe,28,indice_carga_potencial_transicao_administrativa,numeric,0,56
carteira_escola_detalhe,29,faixa_indice_transicao_administrativa,character,0,4
carteira_escola_detalhe,30,contribuicao_volume_indice_principal,numeric,0,56
carteira_escola_detalhe,31,contribuicao_estrutural_indice_principal,numeric,0,56
carteira_escola_detalhe,32,contribuicao_educacional_indice_principal,numeric,0,56
carteira_escola_detalhe,33,contribuicao_administrativa_indice_principal,numeric,0,6
carteira_escola_detalhe,34,numero_cenarios_com_mudanca_faixa,integer,0,4
carteira_escola_detalhe,35,sensibilidade_faixa,character,0,3
carteira_escola_detalhe,36,possui_complexidade_administrativa,logical,0,2
carteira_escola_detalhe,37,interpretacao_indice_cautelosa,logical,0,2
carteira_escola_detalhe,38,painel_incompleto,logical,0,2
carteira_escola_detalhe,39,possui_alerta_composicao,logical,0,2
carteira_escola_detalhe,40,participacao_2026_abaixo_80,logical,0,2
carteira_escola_detalhe,41,caso_para_leitura_detalhada,logical,0,2
carteira_escola_detalhe,42,entre_duas_maiores_cargas_da_carteira,logical,0,2
carteira_escola_detalhe,43,participacao_indice_na_carteira_pct,numeric,0,56
carteira_escola_detalhe,44,participacao_acumulada_indice_carteira_pct,numeric,0,45
carteira_escola_detalhe,45,tipo_vinculo_rede_final,character,0,5
carteira_escola_detalhe,46,status_rede_2025_final,character,0,3
carteira_escola_detalhe,47,municipalizada_apos_2024,logical,0,2
carteira_escola_detalhe,48,escola_nova_recente,logical,0,2
analise_carteiras_cenarios,1,cenario,character,0,4
analise_carteiras_cenarios,2,descricao_cenario,character,0,4
analise_carteiras_cenarios,3,assessora_gerencial,character,0,13
analise_carteiras_cenarios,4,tipo_carteira,character,0,3
analise_carteiras_cenarios,5,carteira_nominal,logical,0,2
analise_carteiras_cenarios,6,numero_escolas,integer,0,5
analise_carteiras_cenarios,7,carga_potencial_total_cenario,numeric,0,52
analise_carteiras_cenarios,8,indice_medio_cenario,numeric,0,52
analise_carteiras_cenarios,9,indice_mediano_cenario,numeric,0,52
analise_carteiras_cenarios,10,carga_total_rede_cenario,numeric,0,4
analise_carteiras_cenarios,11,participacao_carga_rede_cenario_pct,numeric,0,52
analise_carteiras_cenarios,12,ordem_carga_total_todas_categorias,integer,0,13
analise_carteiras_cenarios,13,ordem_carga_total_carteiras_nominais,integer,8,11
analise_carteiras_cenarios,14,percentil_carga_total_cenario_carteiras_nominais,numeric,8,11
analise_carteiras_cenarios,15,faixa_carga_total_cenario_carteiras_nominais,character,8,4
analise_carteiras_cenarios,16,carga_total_equilibrado,numeric,0,13
analise_carteiras_cenarios,17,ordem_equilibrado_nominais,integer,8,11
analise_carteiras_cenarios,18,faixa_equilibrado_nominais,character,8,4
analise_carteiras_cenarios,19,diferenca_carga_total_para_equilibrado,numeric,0,40
analise_carteiras_cenarios,20,mudanca_ordem_nominais_para_equilibrado,integer,8,6
analise_carteiras_cenarios,21,mudou_faixa_carga_total_carteira,logical,8,2
composicao_faixas_carteiras,1,assessora_gerencial,character,0,13
composicao_faixas_carteiras,2,tipo_carteira,character,0,3
composicao_faixas_carteiras,3,carteira_nominal,logical,0,2
composicao_faixas_carteiras,4,faixa_indice_carga_potencial,character,0,4
composicao_faixas_carteiras,5,numero_escolas,integer,0,4
composicao_faixas_carteiras,6,total_escolas_carteira,integer,0,5
composicao_faixas_carteiras,7,percentual_escolas_carteira,numeric,0,9
