id_escola,codigo_inep,nome_canonico,assessora_gerencial,indice_equilibrado,faixa_equilibrado,indice_operacional,faixa_operacional,diferenca_operacional_equilibrado,indice_desafio_educacional,faixa_desafio_educacional,diferenca_desafio_equilibrado,indice_transicao_administrativa,faixa_transicao_administrativa,diferenca_transicao_equilibrado,numero_cenarios_com_mudanca_faixa,sensibilidade_faixa
ESC_005,43105467,EMEF ARAMY SILVA,priscila,36.13236531986532,Faixa 2 — intermediária inferior,42.82474747474748,Faixa 3 — intermediária superior,6.692382154882161,39.963299663299665,Faixa 2 — intermediária inferior,3.8309343434343432,31.179040404040407,Faixa 2 — intermediária inferior,-4.953324915824915,1,Sensibilidade moderada
ESC_020,43109217,EMEF JOAO ANTONIO SATTE,eliane,35.66687710437711,Faixa 2 — intermediária inferior,41.876178451178454,Faixa 3 — intermediária superior,6.209301346801347,40.074326599326604,Faixa 2 — intermediária inferior,4.407449494949496,30.962457912457914,Faixa 2 — intermediária inferior,-4.704419191919193,1,Sensibilidade moderada
ESC_034,43105521,EMEF PEPITA DE LEAO,nathalia,33.736531986531986,Faixa 2 — intermediária inferior,35.451010101010105,Faixa 2 — intermediária inferior,1.7144781144781192,41.10151515151516,Faixa 2 — intermediária inferior,7.3649831649831725,29.965404040404042,Faixa 1 — menor carga potencial relativa,-3.771127946127944,1,Sensibilidade moderada
ESC_037,43105530,EMEF PRESIDENTE VARGAS,eliane,33.34680134680135,Faixa 1 — menor carga potencial relativa,34.05075757575758,Faixa 1 — menor carga potencial relativa,0.7039562289562298,39.865572390572396,Faixa 2 — intermediária inferior,6.518771043771046,29.20997474747475,Faixa 1 — menor carga potencial relativa,-4.1368265993266,1,Sensibilidade moderada
ESC_036,43108563,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,32.06123737373737,Faixa 1 — menor carga potencial relativa,36.7263468013468,Faixa 2 — intermediária inferior,4.66510942760943,36.657828282828284,Faixa 1 — menor carga potencial relativa,4.596590909090914,27.955850168350167,Faixa 1 — menor carga potencial relativa,-4.105387205387203,1,Sensibilidade moderada
ESC_048,43172482,EMEF VER ANTONIO GIUDICE,clarissa,30.803872053872055,Faixa 1 — menor carga potencial relativa,37.10648148148148,Faixa 2 — intermediária inferior,6.3026094276094256,32.66978114478115,Faixa 1 — menor carga potencial relativa,1.865909090909092,26.130639730639732,Faixa 1 — menor carga potencial relativa,-4.673232323232323,1,Sensibilidade moderada
ESC_015,43109233,EMEF GABRIEL OBINO,amanda,30.516414141414142,Faixa 1 — menor carga potencial relativa,32.81363636363636,Faixa 1 — menor carga potencial relativa,2.2972222222222207,38.772895622895625,Faixa 2 — intermediária inferior,8.256481481481483,27.79646464646465,Faixa 1 — menor carga potencial relativa,-2.7199494949494927,1,Sensibilidade moderada
ESC_021,43219543,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,27.357112794612796,Faixa 1 — menor carga potencial relativa,21.953535353535354,Faixa 1 — menor carga potencial relativa,-5.4035774410774415,24.805892255892257,Faixa 1 — menor carga potencial relativa,-2.551220538720539,30.253535353535355,Faixa 2 — intermediária inferior,2.896422558922559,1,Sensibilidade moderada
ESC_049,43109080,EMEF VER CARLOS PESSOA DE BRUM,priscila,58.41982323232323,Faixa 4 — maior carga potencial relativa,68.30446127946128,Faixa 4 — maior carga potencial relativa,9.884638047138047,65.2712962962963,Faixa 4 — maior carga potencial relativa,6.851473063973067,50.540740740740745,Faixa 4 — maior carga potencial relativa,-7.879082491582487,0,Estável nos cenários
ESC_026,43109144,EMEF LIDOVINO FANTON,julia,55.232533670033675,Faixa 4 — maior carga potencial relativa,65.38863636363637,Faixa 4 — maior carga potencial relativa,10.15610269360269,61.5739898989899,Faixa 4 — maior carga potencial relativa,6.3414562289562255,47.83358585858586,Faixa 4 — maior carga potencial relativa,-7.398947811447812,0,Estável nos cenários
