id_escola,codigo_inep,nome_canonico,assessora,ano_escolar,componente,presente_2025,presente_2026,painel_balanceado,painel_resultado_balanceado,previstos_2025,previstos_2026,variacao_relativa_previstos,avaliados_2025,avaliados_2026,taxa_participacao_2025,taxa_participacao_2026,delta_participacao,proficiencia_media_2025,proficiencia_media_2026,delta_proficiencia,observacao_composicao
ESC_035,,EMEF PORTO NOVO,marian,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,46,43,-6.521739130434782,38,41,82.6086956521739,95.34883720930232,12.740141557128425,73.26315789473684,67.97560975609755,-5.287548138639281,Aumento de participação igual ou superior a 10 p.p.
ESC_008,,EMEF CHICO MENDES,eliane,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,90,92,2.2222222222222223,62,75,68.88888888888889,81.52173913043478,12.632850241545896,62.61290322580645,53.61333333333334,-8.999569892473112,Aumento de participação igual ou superior a 10 p.p.
ESC_012,,EMEF DOLORES ALCARAZ CALDAS,jalize,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,154,132,-14.285714285714286,112,112,72.72727272727273,84.84848484848484,12.12121212121211,49.625,51.05357142857143,1.4285714285714306,Aumento de participação igual ou superior a 10 p.p.
ESC_007,,EMEF CHAPEU DO SOL,ruti,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,98,111,13.26530612244898,74,97,75.51020408163265,87.38738738738739,11.87718330575474,56.48648648648648,58.88659793814433,2.4001114516578426,Aumento de participação igual ou superior a 10 p.p.
ESC_006,,EMEF CAMPOS DO CRISTAL,andreia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,50,33,-34,43,32,86,96.96969696969695,10.969696969696969,59.58139534883721,56.375,-3.206395348837212,Mudança relevante no público previsto e aumento de participação
ESC_045,,EMEF SAO PEDRO,marian,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,102,86,-15.686274509803921,79,76,77.45098039215686,88.37209302325581,10.92111263109895,70.9113924050633,43.6578947368421,-27.253497668221193,Aumento de participação igual ou superior a 10 p.p.
ESC_034,,EMEF PEPITA DE LEAO,nathalia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,60,66,10,41,52,68.33333333333333,78.78787878787878,10.454545454545451,45.926829268292686,44.63461538461539,-1.2922138836772987,Aumento de participação igual ou superior a 10 p.p.
ESC_050,,EMEF VER MARTIM ARANHA,priscila,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,74,55,-25.675675675675677,58,39,78.37837837837837,70.9090909090909,-7.469287469287465,57.12068965517241,57.666666666666664,0.5459770114942515,Mudança relevante no número de estudantes previstos
ESC_054,,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,31,21,-32.25806451612903,26,19,83.87096774193549,90.47619047619048,6.605222734254994,74.6923076923077,90,15.307692307692308,Mudança relevante no número de estudantes previstos
ESC_032,,EMEF NOSSA SENHORA DE FATIMA,amanda,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,75,60,-20,56,41,74.66666666666667,68.33333333333333,-6.333333333333343,49.82142857142857,48.80487804878049,-1.0165505226480818,Mudança relevante no número de estudantes previstos
ESC_039,,EMEF PROF ANISIO TEIXEIRA,andreia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,61,79,29.508196721311474,50,69,81.9672131147541,87.34177215189874,5.3745590371446355,65.58,65.81159420289855,0.23159420289854893,Mudança relevante no número de estudantes previstos
ESC_015,,EMEF GABRIEL OBINO,amanda,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,56,44,-21.428571428571427,48,39,85.71428571428571,88.63636363636364,2.922077922077932,76.875,50.282051282051285,-26.592948717948715,Mudança relevante no número de estudantes previstos
ESC_021,,EMEF JOAO CARLOS DAVILA PAIXAO CORTES - LACADOR,julia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,25,20,-20,22,18,88,90,2,95,67,-28,Mudança relevante no número de estudantes previstos
ESC_028,,EMEF MIGRANTES,nathalia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,21,18,-14.285714285714286,19,16,90.47619047619048,88.88888888888889,-1.587301587301596,62,57,-5,Baixo número de avaliados em pelo menos um ano
ESC_030,,EMEF MORRO DA CRUZ,andreia,2,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,94,74,-21.27659574468085,77,60,81.91489361702128,81.08108108108108,-0.8338125359401971,44.75324675324675,35.85,-8.903246753246755,Mudança relevante no número de estudantes previstos
ESC_056,,EEF ALDEIA LUMIAR,,2,Língua Portuguesa,TRUE,FALSE,FALSE,FALSE,22,,,17,,77.27272727272727,,,65.17647058823529,,,Escola-série ausente em um dos anos
ESC_013,,EMEF ESPIRITO SANTO,priscila,2,Língua Portuguesa,FALSE,TRUE,FALSE,FALSE,,16,,,11,,68.75,,,49,,Escola-série ausente em um dos anos
ESC_014,,EMEF EVARISTO GONCALVES NETTO,jalize,2,Língua Portuguesa,FALSE,TRUE,FALSE,FALSE,,39,,,31,,79.48717948717949,,,16.967741935483872,,Escola-série ausente em um dos anos
ESC_040,,EMEF PROF GILBERTO JORGE GONCALVES DA SILVA,ruti,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,22,21,-4.545454545454546,16,21,72.72727272727273,100,27.272727272727263,71,69,-2,Aumento de participação igual ou superior a 10 p.p.
ESC_028,,EMEF MIGRANTES,nathalia,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,27,18,-33.333333333333336,26,13,96.29629629629628,72.22222222222223,-24.074074074074066,51.15384615384615,55,3.8461538461538463,Mudança relevante no público previsto e queda de participação
ESC_047,,EMEF TIMBAUVA,nathalia,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,67,68,1.492537313432836,48,65,71.64179104477611,95.58823529411764,23.94644424934154,38.5,60.738461538461536,22.238461538461536,Aumento de participação igual ou superior a 10 p.p.
ESC_054,,ESC EST ENS FUN PROFESSORA LEOPOLDA BARNEWITZ,julia,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,26,39,50,20,39,76.92307692307692,100,23.07692307692308,73,82.07692307692308,9.07692307692308,Mudança relevante no público previsto e aumento de participação
ESC_035,,EMEF PORTO NOVO,marian,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,46,45,-2.1739130434782608,35,43,76.08695652173913,95.55555555555556,19.46859903381643,33.2,45.48837209302326,12.288372093023256,Aumento de participação igual ou superior a 10 p.p.
ESC_031,,EMEF NEUSA GOULART BRIZOLA,julia,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,44,44,0,30,38,68.18181818181819,86.36363636363636,18.181818181818173,34.666666666666664,83.89473684210526,49.22807017543859,Aumento de participação igual ou superior a 10 p.p.
ESC_046,,EMEF SEN ALBERTO PASQUALINI,julia,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,125,100,-20,84,84,67.2,84,16.799999999999997,64.19047619047619,49.54761904761905,-14.64285714285714,Mudança relevante no público previsto e aumento de participação
ESC_010,,EMEF DEP MARCIRIO GOULART LOUREIRO,marian,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,106,104,-1.8867924528301887,74,90,69.81132075471699,86.53846153846153,16.727140783744545,42,33.111111111111114,-8.888888888888886,Aumento de participação igual ou superior a 10 p.p.
ESC_001,,EEF PEQUENA CASA DA CRIANCA,outras,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,70,63,-10,55,60,78.57142857142857,95.23809523809524,16.66666666666667,56.52727272727272,44.28333333333333,-12.243939393939392,Aumento de participação igual ou superior a 10 p.p.
ESC_052,,EMEF WENCESLAU FONTOURA,eliane,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,103,102,-0.970873786407767,76,92,73.7864077669903,90.19607843137256,16.40967066438226,50.81578947368421,51.25,0.4342105263157876,Aumento de participação igual ou superior a 10 p.p.
ESC_020,,EMEF JOAO ANTONIO SATTE,eliane,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,95,61,-35.78947368421053,67,53,70.52631578947368,86.88524590163935,16.358930112165666,60.44776119402985,64.90566037735849,4.457899183328635,Mudança relevante no público previsto e aumento de participação
ESC_024,,EMEF LAURO RODRIGUES,clarissa,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,73,65,-10.95890410958904,61,64,83.56164383561644,98.46153846153848,14.89989462592203,59.55737704918032,62.109375,2.5519979508196755,Aumento de participação igual ou superior a 10 p.p.
ESC_008,,EMEF CHICO MENDES,eliane,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,99,100,1.0101010101010102,63,77,63.63636363636363,77,13.363636363636369,63.857142857142854,45.01298701298701,-18.844155844155843,Aumento de participação igual ou superior a 10 p.p.
ESC_036,,EMEF PRES JOAO BELCHIOR MARQUES GOULART,marian,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,71,74,4.225352112676056,52,64,73.2394366197183,86.48648648648648,13.24704986676818,71.65384615384616,48.90625,-22.74759615384616,Aumento de participação igual ou superior a 10 p.p.
ESC_007,,EMEF CHAPEU DO SOL,ruti,3,Língua Portuguesa,TRUE,TRUE,TRUE,TRUE,130,119,-8.461538461538462,102,109,78.46153846153847,91.5966386554622,13.13510019392372,41.11764705882353,25.431192660550455,-15.68645439827307,Aumento de participação igual ou superior a 10 p.p.
