variavel_contexto,variavel_resultado,ano_escolar,numero_observacoes,correlacao
pct_matriculas_anos_iniciais_integral,pct_adequado_2025,3,53,-0.08359822230476031
pct_matriculas_anos_iniciais_integral,pct_adequado_2025,4,53,0.022718324397287496
pct_matriculas_anos_iniciais_integral,pct_adequado_2025,5,52,0.04903579947276129
pct_matriculas_anos_iniciais_integral,proficiencia_media_2025,1,54,0.03464523904413979
pct_matriculas_anos_iniciais_integral,proficiencia_media_2025,2,53,0.21742884992265296
pct_matriculas_anos_iniciais_integral,proficiencia_media_2025,3,53,-0.07327316739541177
pct_matriculas_anos_iniciais_integral,proficiencia_media_2025,4,53,0.044888917597636864
pct_matriculas_anos_iniciais_integral,proficiencia_media_2025,5,52,0.011100026866324964
pct_matriculas_anos_iniciais_integral,taxa_participacao_2025,1,54,-0.131614140655491
pct_matriculas_anos_iniciais_integral,taxa_participacao_2025,2,53,0.1954685676023439
pct_matriculas_anos_iniciais_integral,taxa_participacao_2025,3,53,-0.0975370502403428
pct_matriculas_anos_iniciais_integral,taxa_participacao_2025,4,53,0.05862212341878298
pct_matriculas_anos_iniciais_integral,taxa_participacao_2025,5,52,-0.0022696609352734092
pct_matriculas_educacao_especial,delta_participacao,1,54,0.4123147501002449
pct_matriculas_educacao_especial,delta_participacao,2,53,0.1430647562210851
pct_matriculas_educacao_especial,delta_participacao,3,53,0.415452929036582
pct_matriculas_educacao_especial,delta_participacao,4,53,0.2556341121032317
pct_matriculas_educacao_especial,delta_participacao,5,52,0.31279560062041023
pct_matriculas_educacao_especial,delta_pct_adequado,1,54,-0.30205148927156944
pct_matriculas_educacao_especial,delta_pct_adequado,2,53,-0.15767743724269181
pct_matriculas_educacao_especial,delta_pct_adequado,3,53,0.2979994770198497
pct_matriculas_educacao_especial,delta_pct_adequado,4,53,-0.07095990380139067
pct_matriculas_educacao_especial,delta_pct_adequado,5,52,0.10613707567474315
pct_matriculas_educacao_especial,delta_pct_defasagem,1,54,0.2000699648007875
pct_matriculas_educacao_especial,delta_pct_defasagem,2,53,0.024905129883190262
pct_matriculas_educacao_especial,delta_pct_defasagem,3,53,-0.19630796964395242
pct_matriculas_educacao_especial,delta_pct_defasagem,4,53,-0.06461847285597065
pct_matriculas_educacao_especial,delta_pct_defasagem,5,52,-0.3647565076742845
pct_matriculas_educacao_especial,delta_proficiencia,1,54,-0.26760319400426247
pct_matriculas_educacao_especial,delta_proficiencia,2,53,-0.11789642669403515
pct_matriculas_educacao_especial,delta_proficiencia,3,53,0.2538210049145314
pct_matriculas_educacao_especial,delta_proficiencia,4,53,-0.08330519764198768
pct_matriculas_educacao_especial,delta_proficiencia,5,52,0.3002089175755775
pct_matriculas_educacao_especial,pct_adequado_2025,1,54,0.37895905427172594
pct_matriculas_educacao_especial,pct_adequado_2025,2,53,0.2196586589641616
pct_matriculas_educacao_especial,pct_adequado_2025,3,53,-0.04622293725589043
pct_matriculas_educacao_especial,pct_adequado_2025,4,53,0.19491660627288346
pct_matriculas_educacao_especial,pct_adequado_2025,5,52,0.10362050005023003
pct_matriculas_educacao_especial,proficiencia_media_2025,1,54,0.39661283357075533
pct_matriculas_educacao_especial,proficiencia_media_2025,2,53,0.22078010753094054
pct_matriculas_educacao_especial,proficiencia_media_2025,3,53,-0.008290348429279915
pct_matriculas_educacao_especial,proficiencia_media_2025,4,53,0.23643356265898444
pct_matriculas_educacao_especial,proficiencia_media_2025,5,52,0.059242355168909765
pct_matriculas_educacao_especial,taxa_participacao_2025,1,54,-0.2700524217776149
pct_matriculas_educacao_especial,taxa_participacao_2025,2,53,-0.03608464440759012
pct_matriculas_educacao_especial,taxa_participacao_2025,3,53,-0.2793271850025563
pct_matriculas_educacao_especial,taxa_participacao_2025,4,53,-0.04214415226994597
pct_matriculas_educacao_especial,taxa_participacao_2025,5,52,-0.26182529376919395
pct_matriculas_preta_parda_indigena,delta_participacao,1,54,0.2279990203393414
pct_matriculas_preta_parda_indigena,delta_participacao,2,53,-0.5297435350074743
pct_matriculas_preta_parda_indigena,delta_participacao,3,53,-0.05130183650051002
pct_matriculas_preta_parda_indigena,delta_participacao,4,53,0.1814125197400986
pct_matriculas_preta_parda_indigena,delta_participacao,5,52,-0.16373226644786934
pct_matriculas_preta_parda_indigena,delta_pct_adequado,1,54,0.1681748472320526
pct_matriculas_preta_parda_indigena,delta_pct_adequado,2,53,0.14104967859711484
pct_matriculas_preta_parda_indigena,delta_pct_adequado,3,53,0.14142026917342307
pct_matriculas_preta_parda_indigena,delta_pct_adequado,4,53,0.22737692993199626
pct_matriculas_preta_parda_indigena,delta_pct_adequado,5,52,-0.09438176077605763
pct_matriculas_preta_parda_indigena,delta_pct_defasagem,1,54,0.049488468832126466
pct_matriculas_preta_parda_indigena,delta_pct_defasagem,2,53,-0.0031266917486306124
pct_matriculas_preta_parda_indigena,delta_pct_defasagem,3,53,-0.024324639802441254
pct_matriculas_preta_parda_indigena,delta_pct_defasagem,4,53,0.07954402842426869
