id_produto,modulo_origem,caminho_origem,caminho_destino,formato,tamanho_esperado,md5_esperado,sha256_esperado,obrigatorio,publicacao,existe,eh_arquivo,tamanho_observado,md5_observado,sha256_observado,tamanho_aprovado,md5_aprovado,sha256_aprovado,aprovado
M21_11,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G05_extensao_intensidade_carteiras.png,06_graficos/G05_extensao_intensidade_carteiras.png,png,180913,259d5ee415f12c3f2dae0d1778e8aedd,,TRUE,grafico_final,TRUE,TRUE,180913,259d5ee415f12c3f2dae0d1778e8aedd,1456db88d4a3e54633f94d6f84243221828455e5e1753bb25ff5a295b8ff1077,TRUE,TRUE,TRUE,TRUE
M21_12,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/corpo/graficos/G06_dimensoes_operacionais_carteiras.png,06_graficos/G06_dimensoes_operacionais_carteiras.png,png,236291,dd54e175649b07a7e1bb3ff0ab0ab332,,TRUE,grafico_final,TRUE,TRUE,236291,dd54e175649b07a7e1bb3ff0ab0ab332,204163af9d1c19b255c8b4d9707e641230c5010e442b15c3fa2d2d517a84b6f5,TRUE,TRUE,TRUE,TRUE
M21_13,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A01_universo_institucional_escolas.csv,05_tabelas/anexos/A01_universo_institucional_escolas.csv,csv,10419,cc0167d3215d3f80c4686cf81fd7b8db,,TRUE,tabela_final,TRUE,TRUE,10419,cc0167d3215d3f80c4686cf81fd7b8db,c59136c07e59bb201f9a91196acecfd567a793a58a2b1b509b3dc0336570bbc6,TRUE,TRUE,TRUE,TRUE
M21_14,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A02_universo_operacional_2026.csv,05_tabelas/anexos/A02_universo_operacional_2026.csv,csv,8512,37f84b63f9fa0ae06c5baae323f25fb7,,TRUE,tabela_final,TRUE,TRUE,8512,37f84b63f9fa0ae06c5baae323f25fb7,f4ec503fc5d44361040a5ca4f2bbf8eaf515d310d5e5628423bce3df2387040d,TRUE,TRUE,TRUE,TRUE
M21_15,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A03_resultados_escola_ano_escolar.csv,05_tabelas/anexos/A03_resultados_escola_ano_escolar.csv,csv,91656,318be287084084eef5abd6b9bc9b9a93,,TRUE,tabela_final,TRUE,TRUE,91656,318be287084084eef5abd6b9bc9b9a93,6f5a42c8aaab9ba06e6a5eab5a3ffde498908597e4e0dde5b4c130f9ea483365,TRUE,TRUE,TRUE,TRUE
M21_16,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A04_indice_operacional_escolas.csv,05_tabelas/anexos/A04_indice_operacional_escolas.csv,csv,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,,TRUE,tabela_final,TRUE,TRUE,15191,fe6b0f8ef4306aeff64604ad7c70aaf6,77bc6077a79f8e23cf183bab0d4a3c0480744299bf4404cb35200b15eca403cf,TRUE,TRUE,TRUE,TRUE
M21_17,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A05_componentes_indice_operacional.csv,05_tabelas/anexos/A05_componentes_indice_operacional.csv,csv,99767,7a853ba2c301265c6c308dabe72a2eea,,TRUE,tabela_final,TRUE,TRUE,99767,7a853ba2c301265c6c308dabe72a2eea,fb42904a67f7310900c72fff8248cdb4ceebbefa7a8cb650305dd74fd2681899,TRUE,TRUE,TRUE,TRUE
M21_18,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A06_composicao_carteiras.csv,05_tabelas/anexos/A06_composicao_carteiras.csv,csv,19967,c08b4ba1c017c56b61d86478d76b7932,,TRUE,tabela_final,TRUE,TRUE,19967,c08b4ba1c017c56b61d86478d76b7932,5784b7921fa8298783982975a4e06f8bd8c3f8bb2be00c653b8f2633d0733a59,TRUE,TRUE,TRUE,TRUE
M21_19,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A07_diagnostico_educacional_carteiras.csv,05_tabelas/anexos/A07_diagnostico_educacional_carteiras.csv,csv,6653,8526e7bb50d2a85ac34e60197ec94595,,TRUE,tabela_final,TRUE,TRUE,6653,8526e7bb50d2a85ac34e60197ec94595,96672c9fd0854c122f392e11632f99c9368dc6589b9817ad9d140595e976d6e5,TRUE,TRUE,TRUE,TRUE
M21_20,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/anexos/tabelas/A08_escolas_institucionais_nao_operacionais.csv,05_tabelas/anexos/A08_escolas_institucionais_nao_operacionais.csv,csv,1251,c4a82a726922395e0492656becc38a73,,TRUE,tabela_final,TRUE,TRUE,1251,c4a82a726922395e0492656becc38a73,cb089764d596f04469efcffc5696d3d489427eb436190bc59cb7ff648b6899c9,TRUE,TRUE,TRUE,TRUE
M21_21,21,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/resultados/relatorio/execucao_20260731_001044/catalogo_produtos_relatorio.csv,09_documentacao_reprodutibilidade/catalogo_produtos_relatorio.csv,csv,5239,e0300a67c0d0064aa20ddad4b5064e4f,,TRUE,reprodutibilidade,TRUE,TRUE,5239,e0300a67c0d0064aa20ddad4b5064e4f,97ca6eb764a1e3443e439ba0550799fe10a41d6e63a44e7320a83cee93971ecf,TRUE,TRUE,TRUE,TRUE
M22_QMD,22,C:/Users/juanb/OneDrive/_prefPOA_/SMED/_indicadores/estudo_descritivo/22_relatorio_tecnico.qmd,01_relatorio_tecnico/22_relatorio_tecnico.qmd,qmd,22916,6b80b96ea944a64400bae5e27807d2a8,2c250f7a6e1cb098ffe41f67ec0079b535815cf7d57f2d885de35940d5012933,TRUE,institucional_principal,TRUE,TRUE,22916,6b80b96ea944a64400bae5e27807d2a8,2c250f7a6e1cb098ffe41f67ec0079b535815cf7d57f2d885de35940d5012933,TRUE,TRUE,TRUE,TRUE
