Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000178;21;21;18;86;72;13%;31%;56%;100;88;88;50;81;84;88;69;94;38;66;69;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000179;22;22;18;82;64;22%;22%;56%;91;86;65;62;64;82;88;61;94;38;59;76;59
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000180;23;24;20;83;67;20%;20%;60%;95;95;50;63;60;83;85;80;100;43;60;50;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000181;24;22;20;91;71;5%;37%;58%;97;89;74;47;68;89;95;87;95;42;50;74;37
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHAPEU DO SOL; 21912411500000182;25;22;21;95;24;70%;25%;5%;78;55;56;15;39;71;89;26;74;17;41;61;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000216;21;26;20;77;55;22%;50%;28%;92;75;72;39;47;86;88;64;88;44;42;67;33
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000217;22;19;16;84;71;7%;33%;60%;97;90;73;50;63;90;87;57;100;53;80;73;40
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000218;23;25;21;84;43;48%;29%;24%;88;79;30;24;57;74;86;60;100;31;38;67;31
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF CHICO MENDES; 21912411500000219;24;22;18;82;49;35%;29%;35%;79;82;12;50;47;79;94;53;94;35;59;53;32
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000255;21;22;20;91;30;63%;26%;11%;79;84;53;29;42;53;89;58;60;47;24;50;17
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000256;22;26;24;92;35;46%;46%;8%;75;71;58;23;38;65;71;48;83;17;23;63;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000257;23;25;22;88;48;41%;32%;27%;84;66;45;41;66;82;86;52;73;45;36;59;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DECIO MARTINS COSTA; 21912411500000258;24;23;22;96;46;36%;41%;23%;81;80;73;45;52;66;77;66;91;48;34;41;27
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO;LP;PORTO ALEGRE;EMEF DEP MARCIRIO GOULART LOUREIRO; 21912411500000289;21;24;21;88;27;57%;33%;10%;81;58;56;5;43;67;79;43;53;43;26;60;30
