Avaliação;Rede;Ano Escolar;Componente Curricular;Município;Escola;Código da Turma;Turma;Previstos;Avaliados;Avaliados (%);Proficiência Média;Defasagem;Aprendizado intermediário;Aprendizado adequado;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%)
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE LOUREIRO DA SILVA; 21912411500000596;44;25;22;88;58;14%;48%;38%;69;57;55;76;55;45;57;76;52;64;43
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000626;41;23;22;96;46;50%;10%;40%;65;60;55;58;48;38;33;68;50;40;45
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000627;42;22;20;91;22;75%;15%;10%;50;44;37;38;50;38;38;39;44;31;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF JOSE MARIANO BECK; 21912411500000628;43;23;20;87;16;68%;32%;0%;45;34;34;24;34;26;32;29;34;39;29
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000656;41;18;16;89;50;27%;40%;33%;63;50;43;53;73;67;27;67;47;47;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000657;42;23;20;87;70;21%;26%;53%;74;71;58;79;68;66;53;74;47;71;47
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000658;43;12;9;75;15;78%;22%;0%;33;33;33;22;44;33;33;33;28;22;39
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF LAURO RODRIGUES; 21912411500000659;44;16;13;81;70;17%;25%;58%;75;67;54;63;75;79;67;88;58;63;63
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000678;41;27;22;81;64;14%;33%;52%;71;57;45;69;71;67;38;74;60;62;64
PROVA PORTO ALEGRE - 1ª AVALIAÇÃO FORMATIVA 2026;MUNICIPAL;ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO;LP;PORTO ALEGRE;EMEF LEOCADIA FELIZARDO PRESTES; 21912411500000679;42;26;23;88;66;17%;26%;57%;72;65;50;76;72;59;61;74;63;63;63
